Epoch,Train Loss,Train Dice,Train IoU,Val Loss,Val Dice,Val IoU
1,0.580400,0.250152,0.161212,0.568833,0.419908,0.268166
2,0.515858,0.458806,0.302553,0.690954,0.394258,0.248082
3,0.495038,0.494825,0.332649,0.502629,0.365997,0.226920
4,0.488112,0.498859,0.335988,0.486243,0.497101,0.335102
5,0.479193,0.511091,0.346703,0.581739,0.454091,0.296661
6,0.470200,0.522806,0.357504,0.550628,0.479197,0.318264
7,0.471043,0.518947,0.354502,0.622838,0.041764,0.021886
8,0.461627,0.539064,0.372728,0.533698,0.348946,0.214854
9,0.456019,0.548848,0.381420,0.458526,0.508623,0.345933
10,0.453789,0.549145,0.382391,0.603405,0.441319,0.286241
11,0.447559,0.562128,0.394319,0.775052,0.000000,0.000000
12,0.447183,0.562755,0.395560,0.881406,0.381851,0.238324
13,0.434604,0.578660,0.409547,0.467803,0.534966,0.370559
14,0.444253,0.570134,0.403444,0.608040,0.145383,0.079052
15,0.431223,0.582861,0.414593,0.561165,0.495400,0.333184
16,0.418038,0.598540,0.431601,0.645938,0.449194,0.292546
17,0.417669,0.599749,0.432333,0.456542,0.469289,0.311403
18,0.419433,0.598145,0.430896,0.562700,0.219467,0.124769
19,0.416849,0.601101,0.433933,0.572067,0.226767,0.129987
20,0.408275,0.610271,0.442450,0.660210,0.103752,0.055758
21,0.405354,0.612467,0.444848,0.483113,0.408558,0.260562
22,0.392258,0.632457,0.466309,0.390352,0.605607,0.438949
23,0.395775,0.621188,0.454815,0.415144,0.600448,0.435247
24,0.387927,0.630247,0.465760,0.487872,0.367763,0.228390
25,0.384341,0.634885,0.468217,0.861096,0.432059,0.278280
26,0.382498,0.634696,0.469699,0.666096,0.164840,0.090973
27,0.365822,0.651728,0.486698,0.619244,0.106355,0.057132
28,0.364277,0.654113,0.491079,0.542591,0.348017,0.212578
29,0.352460,0.663344,0.499867,0.392279,0.638444,0.475140
30,0.343113,0.673037,0.510886,0.513880,0.350483,0.215000
31,0.338881,0.686157,0.527035,0.358312,0.656760,0.494134
32,0.320049,0.704963,0.548716,0.505631,0.551770,0.386503
33,0.314124,0.709295,0.553794,0.353504,0.622883,0.458428
34,0.312232,0.708755,0.553366,0.366987,0.660215,0.498999
35,0.294721,0.733235,0.582359,0.496663,0.410380,0.261937
36,0.291389,0.728080,0.577260,0.305902,0.692387,0.536167
37,0.275323,0.745886,0.599102,0.319929,0.670252,0.511868
38,0.261124,0.759636,0.615769,0.305396,0.689108,0.531337
39,0.258188,0.766224,0.625049,0.334228,0.696244,0.541268
40,0.259348,0.764062,0.623271,0.481159,0.598624,0.432515
41,0.252269,0.772543,0.634465,0.419172,0.531966,0.372378
42,0.230184,0.794508,0.662761,0.299062,0.685304,0.529380
43,0.221089,0.801597,0.672107,0.298811,0.698385,0.542564
44,0.214391,0.810921,0.685595,0.318374,0.692430,0.536164
45,0.202402,0.818982,0.697359,0.296951,0.695374,0.540390
46,0.192383,0.828704,0.710462,0.337952,0.659386,0.497575
47,0.177360,0.847511,0.737777,0.313644,0.704739,0.552880
48,0.163118,0.860308,0.757455,0.344415,0.697092,0.543125
49,0.160977,0.860439,0.757232,0.297662,0.713139,0.560078
50,0.154523,0.866967,0.767610,0.440482,0.533078,0.372866
51,0.151938,0.870259,0.772856,0.319275,0.711291,0.558513
52,0.132853,0.888160,0.801092,0.317976,0.706325,0.552768
53,0.107108,0.910416,0.836450,0.357555,0.650432,0.489543
54,0.104459,0.912494,0.839890,0.320808,0.706278,0.552386
55,0.099634,0.917267,0.848291,0.325073,0.715521,0.563754
56,0.098443,0.917281,0.848404,0.341347,0.705815,0.553157
57,0.086229,0.928141,0.866469,0.339061,0.694735,0.540384
58,0.106734,0.910654,0.838771,0.461127,0.515080,0.354718
59,0.113719,0.903162,0.825368,0.309291,0.724842,0.575850
60,0.068204,0.943741,0.893745,0.359395,0.692304,0.536883
61,0.067875,0.943938,0.894584,0.323682,0.709492,0.557175
62,0.072663,0.939963,0.887277,0.381920,0.699555,0.543296
63,0.059740,0.950011,0.905070,0.376885,0.688311,0.531005
64,0.051510,0.957924,0.919414,0.366410,0.706577,0.554058
65,0.046088,0.962225,0.927448,0.374017,0.708116,0.555569
66,0.044707,0.963518,0.929754,0.383118,0.702729,0.547780
67,0.040671,0.966742,0.935688,0.388267,0.719694,0.568585
68,0.039247,0.967339,0.936855,0.419290,0.692294,0.535925
69,0.038606,0.967462,0.937137,0.398058,0.693055,0.536842
70,0.035989,0.970287,0.942361,0.404089,0.707717,0.553762
71,0.029387,0.975328,0.951904,0.401255,0.711717,0.558974
72,0.025544,0.978636,0.958196,0.408395,0.718235,0.566583
73,0.023181,0.980528,0.961821,0.408332,0.716248,0.564399
74,0.021169,0.982051,0.964753,0.442686,0.713052,0.560320
75,0.019898,0.983229,0.967030,0.446278,0.711942,0.558973
76,0.018569,0.984318,0.969132,0.452810,0.714130,0.561554
77,0.017322,0.984876,0.970223,0.467182,0.714461,0.562062
78,0.016469,0.985904,0.972209,0.480050,0.710041,0.556777
79,0.015714,0.986518,0.973405,0.474482,0.714149,0.561521
80,0.015327,0.986723,0.973807,0.485326,0.712615,0.559820
81,0.014697,0.987384,0.975090,0.495990,0.709633,0.556019
82,0.013507,0.988453,0.977179,0.507026,0.713702,0.561255
83,0.011621,0.989982,0.980168,0.529584,0.714207,0.561900
84,0.010868,0.990708,0.981593,0.546354,0.713162,0.560381
85,0.010342,0.991106,0.982374,0.550850,0.712507,0.559757
86,0.010228,0.991261,0.982677,0.568572,0.712544,0.559771
87,0.010218,0.991215,0.982588,0.565657,0.710840,0.557610
88,0.009810,0.991577,0.983298,0.566780,0.709216,0.555527
89,0.009659,0.991545,0.983237,0.577546,0.711203,0.557938
90,0.009595,0.991612,0.983369,0.582438,0.713971,0.561619
91,0.009554,0.991633,0.983410,0.578259,0.710429,0.556886
92,0.009252,0.992019,0.984167,0.580068,0.711579,0.558528
93,0.008621,0.992530,0.985175,0.594890,0.711823,0.558820
94,0.007601,0.993409,0.986906,0.619357,0.712394,0.559527
95,0.007320,0.993764,0.987608,0.628590,0.711901,0.558919
96,0.007112,0.993967,0.988009,0.635985,0.709600,0.555929
97,0.007022,0.993889,0.987856,0.653801,0.711235,0.558062
98,0.006929,0.994081,0.988233,0.658049,0.711631,0.558458
99,0.006814,0.994141,0.988353,0.674128,0.711430,0.558399
100,0.006668,0.994283,0.988633,0.679888,0.711010,0.557815
